game_id,developer_id
379720,7137
637090,3185
477160,3911
644930,1776
527230,3323
567640,2210
567640,6650
597170,3226
899440,425
459220,3331
459220,6283
459220,2310
787480,3783
787480,6650
785260,6478
475150,3037
475150,5303
400,818
246900,6975
589360,3171
413420,2210
413420,6650
413420,7374
641990,49
641990,760
102500,3543
102500,3181
56437,6400
56437,6814
1038810,5437
1038810,5079
268050,1821
614570,6753
310950,191
397460,7410
397460,5481
270150,2424
410900,861
799640,3011
291650,4911
466560,6506
285900,4403
738540,7482
738540,425
359870,2343
204360,6205
675010,1502
341800,271
1018020,1096
225540,6728
8870,1032
8870,3517
8870,6426
244450,3133
816020,2210
816020,6650
287700,1096
389730,425
571740,233
678950,2796
454650,7482
454650,3487
323190,4282
288470,5495
257350,3476
621060,1213
621060,3025
365360,6408
378540,382
712100,4289
712100,4238
712100,4452
453090,5595
727130,1591
326460,4519
289130,3196
690790,7225
601050,1917
601050,2156
582160,4643
817130,2110
817130,1621
817130,5079
367500,191
489630,3048
704270,2687
325610,4289
233450,5866
704850,3297
960090,4338
519860,1744
445980,6271
610180,7410
610180,5481
410320,6840
535930,6285
352720,1084
312660,4120
373420,6250
448280,3540
334230,3337
431240,4037
20920,275
231430,6400
231430,4238
231430,4452
221680,1269
502500,253
726830,3540
228280,3476
695290,3793
880940,1833
450540,5834
601430,1821
378860,3186
201270,4289
201270,4238
201270,4452
39140,2343
227300,2667
392110,3196
674940,3049
699170,5358
831980,2514
205100,6753
244210,304
666140,850
611660,3524
311690,171
342180,4600
342180,1284
266840,4167
266840,3331
872790,7136
451340,3224
1061090,2337
24010,6677
531510,1596
232090,133
433340,3028
48700,3635
715560,7049
250900,3179
250900,5481
774461,7410
774461,5481
310060,5453
858810,228
736260,4064
361420,3161
367520,4125
569480,1647
569480,5913
362960,4911
268500,5554
268500,4238
268500,4452
620,818
457140,4589
648350,4812
284160,2633
1034900,91
1034900,2156
751780,4090
434170,7410
434170,5481
236430,4533
236430,4892
214950,4289
645630,488
524220,2343
524220,7219
262060,6048
617830,2432
264710,5089
431960,2435
251570,365
22380,4911
464920,6166
201810,1421
268910,274
236850,5230
813630,6309
211820,3924
841370,2110
253230,5631
646570,2278
218620,4339
239030,4999
548430,294
275850,5058
492720,3532
518790,2602
480490,6753
286160,7500
973760,275
732690,120
301970,4314
244850,230
8930,5554
8930,3517
8930,5462
221380,3175
221380,13
221380,3331
221380,687
648800,5294
427520,185
364360,4289
364360,4452
364360,4238
247080,726
4000,5672
611670,3524
787860,2013
203770,5230
242760,6542
493340,4812
728880,846
728880,49
403640,6753
105600,6475
641320,5928
394360,5230
851100,2027
851100,762
413150,473
346110,2787
346110,6059
346110,4578
346110,595
335300,4533
335300,4892
921570,2343
921570,4107
107410,2104
582010,3783
582010,6650
435150,6250
613100,1113
239140,7453
261640,6971
261640,973
261640,3517
261640,5462
255710,3800
281990,5230
270880,2667
289070,5554
289070,3517
289070,5462
570940,7482
594570,4289
594570,4238
594570,4452
377160,3524
252950,3356
252950,5481
49520,973
49520,3517
49520,5462
374320,4533
374320,5481
429050,1911
3590,4530
3590,5481
219640,2192
447820,3360
299740,4492
293780,5338
607890,1288
859580,5230
250320,3246
613830,2343
931280,7335
586950,3479
268130,1199
748360,7291
440310,5480
546050,3018
546050,428
442120,3381
848350,626
468920,7338
831560,1917
831560,2156
442070,7410
442070,5481
428690,1286
233610,6042
110800,73
110800,2781
286690,6775
327070,7248
503580,2358
420530,3288
436670,306
552920,543
222880,3360
718560,3528
764790,6053
770390,935
512900,1393
365960,354
1018850,4048
1018850,4007
790850,1974
205190,1269
931500,438
750050,3224
448510,846
591370,6525
1018010,1096
3830,6129
559650,634
951440,6144
285190,6400
285190,4238
285190,4452
429660,425
809140,2822
501300,5984
65980,5554
65980,3517
65980,5462
244160,973
244160,3517
42910,7031
596970,315
541570,616
537800,2272
597220,1073
611160,5154
544610,1145
588190,109
445220,1422
493900,1009
282800,3017
683320,1499
271260,5694
351510,7410
351510,5481
213670,4911
677120,1527
809720,3529
265930,894
210970,5285
210970,5481
307110,4196
377840,2343
606150,6742
292120,2343
231740,6424
282140,3881
290340,2284
863590,4024
613880,4812
613880,3731
572410,4721
274920,1234
950050,6490
274170,6136
622650,4584
219150,6136
282070,4282
220,818
481510,1734
281610,5104
480650,468
383870,5753
39150,2343
1065970,5698
967050,6961
209000,5401
209000,3610
793690,641
844040,2828
673880,1230
230190,580
646910,6778
65800,1872
447020,2013
671510,4136
1055090,2421
503560,2812
322170,7252
544750,253
544750,4011
34270,6938
466300,3476
587430,1016
801630,4650
239820,1279
320040,2264
392160,7117
427290,3740
399810,2365
